X,Atten,Time,Date
8421.22,-47.965,20:21:13,20/6/2018
8441.05,-47.99,20:41:03,20/6/2018
8560.07,-47.941,22:40:04,20/6/2018
8637.54,-48.065,23:57:32,20/6/2018
8763.17,-48.016,02:03:10,21/6/2018
8901.08,-48.042,04:21:05,21/6/2018
9036.16,-48.042,06:36:10,21/6/2018
9041.82,-47.641,06:41:49,21/6/2018
9047.46,-47.448,06:47:28,21/6/2018
9055.96,-47.22,06:55:58,21/6/2018
9058.78,-47.175,06:58:47,21/6/2018
9084.29,-47.126,07:24:17,21/6/2018
9090.92,-47.497,07:30:55,21/6/2018
9106.05,-47.998,07:46:03,21/6/2018
9113.62,-48.018,07:53:37,21/6/2018
9263.82,-48.068,10:23:49,21/6/2018
9326.16,-48.118,11:26:10,21/6/2018
9398.89,-48.564,12:38:53,21/6/2018
9398.92,-48.564,12:38:55,21/6/2018
9405.63,-50.174,12:45:38,21/6/2018
9407.43,-48.663,12:47:26,21/6/2018
9416.11,-51.835,12:56:07,21/6/2018
9416.97,-50.298,12:56:58,21/6/2018
9423.68,-52.008,13:03:41,21/6/2018
9427.52,-53.123,13:07:31,21/6/2018
9437.83,-49.893,13:17:50,21/6/2018
9438.65,-49.506,13:18:39,21/6/2018
9445.19,-48.362,13:25:11,21/6/2018
9445.25,-48.353,13:25:15,21/6/2018
9538.69,-47.97,14:58:41,21/6/2018
9569.87,-48.019,15:29:52,21/6/2018
9781.46,-48.095,19:01:28,21/6/2018
10009.11,-48.021,22:49:07,21/6/2018
10145.13,-47.972,01:05:08,22/6/2018
10275.49,-48.047,03:15:29,22/6/2018
10425.68,-47.973,05:45:41,22/6/2018
